game_id;result;moves;board
24;white_win;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,6-10,15x6,1x10,24-20,17-22,30-25,10x17,21x14,13-17,25-21,12-16,19x12,11-15,23-19,15x24,28x19;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
25;draw;11-15,22-17,15-19,23x16,12x19,24x15,10x19,25-22,8-11,30-25,4-8,27-23,11-16,22-18,8-12,17-14,16-20,23x16,12x19,32-27,9-13,25-22,6-9,27-24,20x27,31x24x15,1-6,29-25,7-10,14x7,3x10x19,18-15,9-14,15-11,6-9,11-8,2-7,8-3,7-10,3-7,10-15,7-11,14-17,21x14,9x18,25-21,18x25,11x18,25-30,18-23,5-9;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
26;draw;11-15,23-19,8-11,27-23,11-16,24-20,15x24,20x11,7x16,28x19,4-8,22-18,8-11,19-15,10x19,18-14,9x18x27,31x24x15x8,16-19,8-4,12-16,25-22,5-9,22-18,19-24,18-15,16-20,15-11,24-27,32x23,20-24,11-8,3x12,4-8,9-14,8-11,24-27,23-18,14x23,26x19,27-31,19-15,6-10,15x6,1x10,21-17;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
27;draw;11-15,23-19,8-11,22-17,4-8,25-22,9-13,27-23,6-9,23-18,9-14,18x9,5x14,26-23,1-6,30-25,15-18,22x15,11x18x27,32x23,13x22,25x18x9,6x13,29-25,13-17,21x14,10x17,19-16,12x19x26,31x22x13,2-6,25-22,8-11,24-19,6-10,13-9,10-15,19x10,7x14,9-6,11-15,6-2,14-18,22-17,18-22,2-6,15-19,6-10,19-23,10-15;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
28;draw;9-14,22-18,11-15,18x11,8x15,25-22,5-9,22-17,9-13,30-25,13x22,25x18x11,7x16,24-20,3-8,20x11,8x15,28-24,4-8,24-20,8-11,29-25,6-9,25-22,9-13,27-24,2-6,22-17,13x22,26x17,15-18,24-19,18x27,31x24,11-15,20-16,6-9,17-13,15-18,13x6,10-15,19x10,12x19x28,6-2,18-22,2-7,22-25,7-11;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
29;draw;11-15,23-18,8-11,27-23,4-8,24-20,15-19,23x16,12x19,18-15,11x18,22x15,7-11,32-27,11x18,26-23,19x26,30x23x14x7,2x11,25-22,9-14,27-23,11-15,28-24,8-11,23-19,14-18,19x10,18x25,29x22,6x15,31-26,5-9,21-17,3-8,26-23,9-13,23-19,15-18,22x15,11x18;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
30;white_win;11-15,22-17,15-19,23x16,12x19,24x15,10x19,25-22,8-11,30-25,4-8,22-18,9-13,18-14,13x22,25x18,8-12,29-25,11-16,27-23,6-9,31-27,7-10,14x7,3x10,18-15,9-14,15x6,1x10,25-22,5-9,27-24,2-6,24x15,10x19,22-17,6-10,17-13;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
31;white_win;11-15,22-17,15-19,23x16,12x19,24x15,10x19,25-22,8-11,30-25,4-8,27-23,11-16,22-18,8-12,17-14,16-20,23x16,12x19,32-27,9-13,25-22,6-9,27-24,20x27,31x24x15,1-6,29-25,7-10,14x7,3x10x19,18-15,9-14,15-11,6-10,11-8,2-7,8-3,5-9,3-8,10-15,8-3,7-11,3-7,11-16,7-3,14-18,3-7,18-23,7-11,23x30,11x18,16-20,18-14,9x18,22x15,20-24,15-11,24-27,25-22,27-31,22-18,31-27,18-14,27-23,11-7,23-18,14-9,30-26;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
32;white_win;11-15,22-17,8-11,23-19,9-14,25-22,3-8,29-25,11-16,27-23,5-9,22-18,15x22x29,19-15,10x19,17x10x3,29-25,24x15,9-13,28-24,16-20,31-27,25-22,26x17,13x22,23-18,22-25,21-17,25-29,32-28,2-7,3x10,8-11,15x8,6x15x22,8-3,4-8,24-19,8-11,3-8,11-16,19-15,16-19,15-10,12-16,8-11;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
33;draw;11-15,23-19,8-11,27-23,11-16,24-20,15x24,20x11,7x16,28x19,4-8,22-18,10-14,25-22,8-11,29-25,6-10,32-27,9-13,18x9,5x14,22-18,1-5,18x9,5x14,25-22,13-17,22x13,14-18,23x14x7,16x23x32,13-9,3x10,21-17,11-16,17-13,32-28,9-6,2x9,13x6,10-15,6-2,15-19;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
34;white_win;9-14,22-18,11-15,18x9,5x14,25-22,15-19,23x16,12x19,24x15,10x19,22-17,6-10,27-24,10-15,17x10,7x14,29-25,8-12,25-22,14-18,22-17,18-22,17-14,22-25,21-17,25-29,17-13,4-8,32-27,3-7,24-20,15-18,14-9,19-23,26x19,18-22,27-24;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
